Табельный номер,Фамилия,Пол,Год рождения,Год начала работы в компании,Подразделение,Должность,Оклад,Кол-во выполненных проектов
863,Терентьева,Женский,1971,2014,2,Технический специалист,33100,31
864,Миридонова,Женский,1986,2021,2,Начальник отдела,25400,14
865,Евсеев,Мужской,1980,2012,2,Программист,35000,40
866,Терентьев,Мужской,1987,2022,3,Программист,25900,19
867,Миридонова,Женский,1988,2008,1,Начальник отдела,36500,35
868,Капибарова,Женский,1972,2002,2,Администратор,33400,34
869,Хорькова,Женский,1986,2021,2,Сотрудник техподдержки,25200,22
870,Беброва,Женский,1971,2004,2,Администратор,37500,75
871,Альбертов,Мужской,1976,2014,4,Начальник отдела,43800,98
872,Хорькова,Женский,1978,2006,3,Программист,40300,73
873,Миридонова,Женский,1986,2015,2,Программист,40300,61
874,Миридонов,Мужской,1985,2021,4,Начальник отдела,23000,20
875,Дементьев,Мужской,1985,2016,5,Начальник отдела,31100,61
876,Андреева,Женский,1975,2014,4,Технический специалист,38800,58
877,Терентьева,Женский,1985,2021,2,Программист,24900,9
878,Хорькова,Женский,1979,2018,2,Сотрудник техподдержки,22500,15
879,Доронькин,Мужской,1972,2017,3,Начальник отдела,26500,15
880,Миридонова,Женский,1983,2022,1,Начальник отдела,22800,8
881,Терентьев,Мужской,1982,2020,1,Начальник отдела,23900,9
882,Терентьев,Мужской,1980,2019,1,Администратор,23300,13
883,Миридонова,Женский,1981,2014,2,Технический специалист,35500,45
884,Альбертов,Мужской,1986,2022,1,Программист,26700,27
885,Древесюк,Мужской,1990,2013,3,Сотрудник техподдержки,39200,52
886,Хорькова,Женский,1983,2019,3,Технический специалист,25100,11
887,Доронькин,Мужской,1984,2018,3,Администратор,22600,26
888,Иванова,Женский,1982,2018,5,Сотрудник техподдержки,26700,27
889,Евсеев,Мужской,1982,2002,2,Начальник отдела,40100,61
890,Беброва,Женский,1988,2015,4,Программист,40100,46
891,Андреева,Женский,1975,2013,3,Программист,39900,89
892,Беброва,Женский,1973,2010,5,Начальник отдела,39500,95
893,Терентьева,Женский,1972,1993,1,Технический специалист,36100,41
894,Терентьева,Женский,1975,2013,2,Программист,43800,98
895,Терентьева,Женский,1971,1999,3,Начальник отдела,40200,62
896,Боброва,Женский,1988,2013,3,Администратор,35300,53
897,Доронькин,Мужской,1972,2015,1,Начальник отдела,35300,71
898,Дементьев,Мужской,1972,2016,4,Администратор,28500,35
899,Доронькин,Мужской,1987,2015,4,Технический специалист,28500,77
900,Евсеев,Мужской,1973,2007,3,Программист,39700,57
901,Боброва,Женский,1977,2020,5,Программист,23400,14
902,Евсеев,Мужской,1981,2014,2,Администратор,35200,52
903,Андреева,Женский,1974,2016,5,Программист,31100,41
904,Терентьева,Женский,1978,2022,1,Начальник отдела,24900,19
905,Капибарова,Женский,1977,2019,1,Начальник отдела,23900,9
906,Иванова,Женский,1984,2020,5,Технический специалист,22300,13
907,Иванова,Женский,1975,2012,5,Начальник отдела,38000,80
908,Беброва,Женский,1973,2020,4,Технический специалист,23600,26
909,Терентьева,Женский,1976,2011,2,Начальник отдела,37800,48
910,Беброва,Женский,1981,2004,5,Сотрудник техподдержки,40200,72
911,Амогусов,Мужской,1976,2002,2,Программист,35900,59
912,Миридонова,Женский,1984,2015,3,Программист,35900,44
913,Миридонова,Женский,1978,2015,3,Сотрудник техподдержки,35900,65
914,Евсеев,Мужской,1990,2018,3,Администратор,21300,13
915,Терентьев,Мужской,1983,2016,2,Начальник отдела,32800,48
916,Евсеев,Мужской,1987,2020,1,Технический специалист,25800,28
917,Миридонов,Мужской,1977,2015,4,Программист,25800,50
918,Доронькин,Мужской,1986,2015,1,Технический специалист,25800,50
919,Древесюк,Мужской,1990,2017,4,Сотрудник техподдержки,30000,50
920,Андреева,Женский,1972,2009,5,Технический специалист,42700,97
921,Беброва,Женский,1983,2015,1,Программист,42700,90
922,Миридонова,Женский,1976,2020,3,Администратор,21000,10
923,Альбертов,Мужской,1977,2006,4,Сотрудник техподдержки,37400,74
924,Капибарова,Женский,1976,2008,3,Администратор,40600,66
925,Евсеев,Мужской,1977,2010,3,Технический специалист,36900,49
926,Хорькова,Женский,1990,2022,1,Администратор,25000,10
927,Иванова,Женский,1971,2008,4,Администратор,37000,60
928,Хорькова,Женский,1970,2014,4,Сотрудник техподдержки,36000,30
929,Андреева,Женский,1980,2010,1,Сотрудник техподдержки,34300,33
930,Капибарова,Женский,1986,2022,5,Администратор,27000,30
931,Боброва,Женский,1990,2022,3,Технический специалист,24900,19
932,Миридонова,Женский,1978,2019,5,Начальник отдела,24100,11
933,Беброва,Женский,1976,2015,1,Администратор,24100,65
934,Древесюк,Мужской,1983,2019,1,Администратор,24800,28
935,Древесюк,Мужской,1974,2009,5,Сотрудник техподдержки,36500,65
936,Миридонов,Мужской,1986,2014,5,Программист,34400,34
937,Древесюк,Мужской,1976,2021,1,Начальник отдела,22100,1
938,Андреева,Женский,1989,2009,2,Сотрудник техподдержки,40500,65
939,Иванова,Женский,1985,2021,4,Администратор,22100,11
940,Миридонова,Женский,1970,2014,4,Технический специалист,41400,94
941,Терентьев,Мужской,1985,2017,3,Технический специалист,37400,94
942,Альбертов,Мужской,1981,2019,3,Администратор,23200,22
943,Амогусов,Мужской,1973,2012,2,Начальник отдела,39800,68
944,Доронькин,Мужской,1982,2020,3,Технический специалист,25600,16
945,Альбертов,Мужской,1973,2017,1,Программист,27600,16
946,Древесюк,Мужской,1974,2006,3,Технический специалист,36900,59
947,Евсеев,Мужской,1980,2009,4,Программист,41800,88
948,Древесюк,Мужской,1970,2005,5,Администратор,40400,84
949,Амогусов,Мужской,1978,2019,4,Технический специалист,22600,6
950,Хорькова,Женский,1987,2022,5,Программист,22500,5
951,Хорькова,Женский,1973,1997,3,Начальник отдела,38700,77
952,Хорькова,Женский,1984,2007,3,Начальник отдела,35800,48
953,Капибарова,Женский,1979,2020,5,Программист,23300,3
954,Древесюк,Мужской,1985,2020,4,Сотрудник техподдержки,22000,20
955,Миридонов,Мужской,1985,2014,4,Администратор,42500,95
956,Доронькин,Мужской,1972,2005,4,Сотрудник техподдержки,42800,98
957,Капибарова,Женский,1974,2016,2,Программист,38200,92
958,Амогусов,Мужской,1987,2019,1,Начальник отдела,23800,18
959,Хорькова,Женский,1976,2012,2,Сотрудник техподдержки,37600,46
960,Беброва,Женский,1990,2018,3,Администратор,24900,19
961,Хорькова,Женский,1983,2022,1,Администратор,21400,4
962,Иванова,Женский,1982,2020,2,Сотрудник техподдержки,20600,6
963,Беброва,Женский,1975,2010,5,Сотрудник техподдержки,36800,48
964,Альбертов,Мужской,1988,2018,5,Технический специалист,22000,10
965,Хорькова,Женский,1979,2011,2,Технический специалист,36300,63
966,Терентьев,Мужской,1976,2017,2,Сотрудник техподдержки,31300,63
967,Альбертов,Мужской,1971,2016,5,Программист,36300,73
968,Миридонова,Женский,1974,2006,4,Технический специалист,37100,31
969,Миридонов,Мужской,1975,1996,5,Начальник отдела,38000,40
970,Хорькова,Женский,1986,2012,5,Сотрудник техподдержки,42000,80
971,Дементьев,Мужской,1972,2022,3,Сотрудник техподдержки,24800,28
972,Древесюк,Мужской,1990,2018,5,Программист,24100,11
973,Амогусов,Мужской,1980,2013,3,Начальник отдела,39000,50
974,Миридонов,Мужской,1982,2020,4,Программист,25100,11
975,Миридонов,Мужской,1984,2017,3,Сотрудник техподдержки,30100,11
976,Капибарова,Женский,1976,2002,4,Сотрудник техподдержки,38700,57
977,Миридонов,Мужской,1976,2022,4,Начальник отдела,23200,2
978,Терентьева,Женский,1970,2005,2,Администратор,40100,81
979,Капибарова,Женский,1987,2010,2,Технический специалист,40600,96
980,Миридонова,Женский,1985,2015,4,Сотрудник техподдержки,40600,94
981,Амогусов,Мужской,1986,2017,3,Администратор,34400,94
982,Дементьев,Мужской,1973,2001,5,Программист,38800,48
983,Иванова,Женский,1982,2002,3,Администратор,39000,80
984,Хорькова,Женский,1976,2004,4,Программист,43100,91
985,Боброва,Женский,1983,2022,2,Сотрудник техподдержки,21600,6
986,Андреева,Женский,1975,2021,5,Сотрудник техподдержки,24500,15
987,Андреева,Женский,1978,2008,5,Администратор,35300,53
988,Миридонова,Женский,1975,2022,5,Технический специалист,22600,16
989,Амогусов,Мужской,1986,2021,4,Администратор,21300,3
990,Иванова,Женский,1982,2019,5,Сотрудник техподдержки,21100,1
991,Боброва,Женский,1978,2022,5,Администратор,25300,13
992,Андреева,Женский,1975,2018,5,Администратор,26200,22
993,Андреева,Женский,1978,2005,3,Технический специалист,40100,61
994,Доронькин,Мужской,1970,2011,1,Начальник отдела,38200,72
995,Доронькин,Мужской,1977,2009,3,Администратор,37600,36
996,Амогусов,Мужской,1989,2017,2,Технический специалист,31600,36
997,Терентьева,Женский,1984,2008,4,Программист,37500,65
998,Миридонова,Женский,1985,2021,4,Начальник отдела,21400,14
999,Миридонов,Мужской,1982,2004,3,Программист,39700,67
1000,Хорькова,Женский,1987,2020,4,Программист,24800,8
1001,Доронькин,Мужской,1976,2004,2,Администратор,40700,67
1002,Терентьева,Женский,1974,2011,5,Программист,40400,64
1003,Андреева,Женский,1974,2006,3,Программист,36000,50
1004,Альбертов,Мужской,1975,2008,2,Начальник отдела,33500,35
1005,Капибарова,Женский,1977,2006,3,Сотрудник техподдержки,34400,34
1006,Иванова,Женский,1986,2011,1,Технический специалист,37800,78
1007,Боброва,Женский,1987,2022,5,Программист,22300,23
1008,Хорькова,Женский,1982,2013,1,Начальник отдела,37100,51
1009,Иванова,Женский,1990,2019,1,Технический специалист,26900,29
1010,Дементьев,Мужской,1987,2015,3,Сотрудник техподдержки,26900,56
1011,Хорькова,Женский,1981,2008,2,Технический специалист,35500,55
1012,Беброва,Женский,1974,2012,2,Начальник отдела,42900,89
1013,Миридонов,Мужской,1990,2018,1,Сотрудник техподдержки,20400,4
1014,Миридонова,Женский,1977,2016,4,Сотрудник техподдержки,35900,99
1015,Миридонов,Мужской,1983,2006,1,Технический специалист,33300,33
1016,Альбертов,Мужской,1981,2013,3,Сотрудник техподдержки,41500,95
1017,Миридонов,Мужской,1977,2005,5,Технический специалист,39400,84
1018,Доронькин,Мужской,1989,2022,4,Сотрудник техподдержки,24500,25
1019,Капибарова,Женский,1986,2015,3,Начальник отдела,24500,78
1020,Терентьев,Мужской,1986,2011,2,Технический специалист,38500,65
1021,Хорькова,Женский,1989,2020,1,Сотрудник техподдержки,23900,9
1022,Иванова,Женский,1987,2019,3,Начальник отдела,24100,21
1023,Миридонов,Мужской,1983,2018,4,Начальник отдела,23500,15
1024,Евсеев,Мужской,1978,2007,5,Технический специалист,40100,81
1025,Евсеев,Мужской,1975,2007,1,Сотрудник техподдержки,38700,87
1026,Андреева,Женский,1978,2012,1,Сотрудник техподдержки,38300,63
1027,Андреева,Женский,1983,2021,1,Сотрудник техподдержки,23500,25
1028,Амогусов,Мужской,1979,2000,5,Технический специалист,40800,98
1029,Беброва,Женский,1980,2005,2,Сотрудник техподдержки,38500,45
1030,Миридонова,Женский,1970,2018,2,Технический специалист,21800,8
1031,Андреева,Женский,1980,2019,5,Программист,26500,25
1032,Миридонов,Мужской,1986,2013,5,Сотрудник техподдержки,37700,57
1033,Боброва,Женский,1982,2016,3,Программист,29800,48
1034,Миридонов,Мужской,1984,2010,4,Сотрудник техподдержки,41100,91
1035,Терентьева,Женский,1977,2022,2,Сотрудник техподдержки,23500,15
1036,Боброва,Женский,1986,2021,5,Начальник отдела,22200,2
1037,Евсеев,Мужской,1990,2014,3,Технический специалист,41700,87
1038,Миридонов,Мужской,1982,2016,5,Сотрудник техподдержки,31100,31
1039,Терентьева,Женский,1980,2014,2,Начальник отдела,36900,49
1040,Хорькова,Женский,1977,2017,2,Технический специалист,33900,49
1041,Альбертов,Мужской,1974,1997,2,Технический специалист,35100,51
1042,Миридонова,Женский,1979,2021,1,Сотрудник техподдержки,25500,25
1043,Иванова,Женский,1979,2014,4,Администратор,39500,95
1044,Хорькова,Женский,1982,2005,3,Администратор,37700,37
1045,Евсеев,Мужской,1971,2006,3,Технический специалист,42400,84
1046,Хорькова,Женский,1985,2021,2,Технический специалист,21100,11
1047,Древесюк,Мужской,1987,2022,4,Технический специалист,23800,18
1048,Беброва,Женский,1976,2022,3,Технический специалист,24100,1
1049,Хорькова,Женский,1987,2020,4,Сотрудник техподдержки,24300,3
1050,Миридонова,Женский,1989,2022,3,Программист,24400,4
1051,Иванова,Женский,1984,2011,2,Технический специалист,40900,69
1052,Древесюк,Мужской,1974,2021,3,Технический специалист,21900,9
1053,Боброва,Женский,1987,2020,4,Начальник отдела,23300,3
1054,Андреева,Женский,1981,2021,3,Сотрудник техподдержки,24000,20
1055,Терентьев,Мужской,1986,2020,3,Программист,25000,30
1056,Дементьев,Мужской,1980,2022,3,Начальник отдела,20900,9
1057,Доронькин,Мужской,1972,2018,3,Администратор,22900,19
1058,Иванова,Женский,1986,2018,5,Начальник отдела,23100,21
1059,Терентьев,Мужской,1978,2012,1,Начальник отдела,38600,56
1060,Капибарова,Женский,1979,2020,1,Программист,24200,2
1061,Боброва,Женский,1977,2021,4,Программист,26400,24
1062,Древесюк,Мужской,1975,2021,5,Администратор,23200,2
1063,Терентьева,Женский,1979,2006,4,Программист,39200,72
1064,Боброва,Женский,1981,2021,4,Начальник отдела,24300,13
1065,Миридонов,Мужской,1982,2006,1,Технический специалист,43200,92
1066,Миридонов,Мужской,1982,2005,3,Администратор,37300,63
1067,Иванова,Женский,1972,1992,1,Начальник отдела,39100,91
1068,Капибарова,Женский,1988,2013,1,Сотрудник техподдержки,36300,33
1069,Миридонов,Мужской,1982,2010,1,Администратор,35400,44
1070,Амогусов,Мужской,1980,2020,2,Администратор,23400,14
1071,Амогусов,Мужской,1982,2005,5,Сотрудник техподдержки,38200,82
1072,Миридонов,Мужской,1970,2001,5,Сотрудник техподдержки,37100,41
1073,Терентьева,Женский,1981,2006,5,Администратор,38900,69
1074,Миридонова,Женский,1983,2016,2,Начальник отдела,33700,67
1075,Дементьев,Мужской,1972,2012,4,Технический специалист,40300,73
1076,Дементьев,Мужской,1978,2015,2,Программист,40300,71
1077,Амогусов,Мужской,1980,2019,3,Программист,25000,20
1078,Хорькова,Женский,1981,2017,3,Сотрудник техподдержки,29000,20
1079,Хорькова,Женский,1980,2017,3,Программист,31000,20
1080,Амогусов,Мужской,1990,2015,4,Сотрудник техподдержки,31000,31
1081,Капибарова,Женский,1984,2004,3,Сотрудник техподдержки,35400,44
1082,Иванова,Женский,1975,2016,5,Администратор,30500,35
1083,Миридонов,Мужской,1979,2019,3,Начальник отдела,25000,10
1084,Терентьев,Мужской,1971,2005,4,Программист,39700,67
1085,Амогусов,Мужской,1987,2021,5,Сотрудник техподдержки,25800,28
1086,Евсеев,Мужской,1979,2012,3,Сотрудник техподдержки,39000,70
1087,Капибарова,Женский,1982,2018,4,Администратор,25300,13
1088,Андреева,Женский,1983,2013,4,Администратор,41100,81
1089,Альбертов,Мужской,1970,2017,2,Программист,33100,81
1090,Евсеев,Мужской,1985,2018,5,Начальник отдела,23800,8
1091,Беброва,Женский,1971,2011,2,Начальник отдела,38400,84
1092,Терентьев,Мужской,1974,2014,5,Сотрудник техподдержки,38800,48
1093,Дементьев,Мужской,1986,2018,4,Сотрудник техподдержки,24000,20
1094,Древесюк,Мужской,1985,2021,2,Сотрудник техподдержки,23900,29
1095,Евсеев,Мужской,1986,2021,5,Начальник отдела,23500,5
1096,Дементьев,Мужской,1981,2019,2,Технический специалист,20500,5
1097,Амогусов,Мужской,1987,2019,1,Технический специалист,23000,30
1098,Альбертов,Мужской,1972,2020,4,Программист,23400,4
1099,Терентьев,Мужской,1971,2006,3,Сотрудник техподдержки,38100,41
